id,title,collection_name
19186,The Parent Trap,['Parent Trap Collection']
6878,Homeward Bound: The Incredible Journey,['Homeward Bound Collection']
15944,The Shaggy Dog,['The Shaggy Dog Collection']
11224,Cinderella,['Cinderella Collection']
15947,The Three Caballeros,['Caballeros Collection']
10948,The Fox and the Hound,['The Fox and the Hound Collection']
11229,Freeway,['Freeway Collection']
562,Die Hard,['Die Hard Collection']
10163,The Lawnmower Man,['The Lawnmower Man Collection']
11238,Aladdin and the King of Thieves,['Aladdin Collection']
88,Dirty Dancing,['Dirty Dancing Collection']
8491,Weekend at Bernie's,"[""Weekend at Bernie's Collection""]"
402,Basic Instinct,['Basic Instinct Collection']
25750,Children of the Corn IV: The Gathering,['Children of the Corn Collection']
11843,The Return of the Pink Panther,['The Pink Panther (Original) Collection']
1103,Escape from New York,['Escape From ... Collection']
11298,The Howling,['The Howling Collection']
4480,Jean de Florette,['The Water of the Hills Collection']
4481,Manon of the Spring,['The Water of the Hills Collection']
531,The Wrong Trousers,['Wallace & Gromit Collection']
36555,Best of the Best 3: No Turning Back,['Best of the Best Collection']
11455,Up in Smoke,['Cheech & Chong Collection']
1891,The Empire Strikes Back,['Star Wars Collection']
85,Raiders of the Lost Ark,['Indiana Jones Collection']
679,Aliens,['Alien Collection']
429,"The Good, the Bad and the Ugly",['The Man With No Name Collection']
1892,Return of the Jedi,['Star Wars Collection']
348,Alien,['Alien Collection']
766,Army of Darkness,['Evil Dead Collection']
539,Psycho,['Psycho Collection']
525,The Blues Brothers,['The Blues Brothers Collection']
240,The Godfather: Part II,['The Godfather Collection']
530,A Grand Day Out,['Wallace & Gromit Collection']
9277,The Sting,['The Sting Collection']
218,The Terminator,['The Terminator Collection']
829,Chinatown,['The Jake Gittes Collection']
765,Evil Dead II,['Evil Dead Collection']
105,Back to the Future,['Back to the Future Collection']
8009,Highlander,['Highlander Collection']
756,Fantasia,['Fantasia Collection']
11314,Koyaanisqatsi,['Qatsi Collection']
89,Indiana Jones and the Last Crusade,['Indiana Jones Collection']
8077,Alien³,['Alien Collection']
41671,Amityville: It's About Time,['The Amityville Horror Collection']
27214,Amityville 3-D,['The Amityville Horror Collection']
52263,Amityville: Dollhouse,['The Amityville Horror Collection']
33519,Amityville: A New Generation,['The Amityville Horror Collection']
16235,Amityville II: The Possession,['The Amityville Horror Collection']
11449,The Amityville Horror,['The Amityville Horror Collection']
41848,The Amityville Curse,['The Amityville Horror Collection']
8851,The Blob,['The Blob Collection']
229,Bride of Frankenstein,['Frankenstein (Universal Series)']
9529,Candyman,['Candyman Collection']
7340,Carrie,['Carrie Collection']
377,A Nightmare on Elm Street,['A Nightmare on Elm Street Collection']
794,The Omen,['The Omen Collection']
145,Breaking the Waves,['Heart of Gold Collection']
199,Star Trek: First Contact,['Star Trek: The Next Generation Collection']
9279,Jingle All the Way,['Jingle All the Way Collection']
17204,Paradise Lost: The Child Murders at Robin Hood Hills,['Paradise Lost Collection']
11674,101 Dalmatians,['101 Dalmatians (Live-Action) Collection']
1573,Die Hard 2,['Die Hard Collection']
152,Star Trek: The Motion Picture,['Star Trek: The Original Series Collection']
174,Star Trek VI: The Undiscovered Country,['Star Trek: The Original Series Collection']
172,Star Trek V: The Final Frontier,['Star Trek: The Original Series Collection']
154,Star Trek II: The Wrath of Khan,['Star Trek: The Original Series Collection']
157,Star Trek III: The Search for Spock,['Star Trek: The Original Series Collection']
168,Star Trek IV: The Voyage Home,['Star Trek: The Original Series Collection']
364,Batman Returns,['Batman Collection']
11967,Young Guns,['Young Guns Collection']
9086,Young Guns II,['Young Guns Collection']
621,Grease,['Grease Collection']
9037,Grease 2,['Grease Collection']
8845,Under Siege,['Under Siege Collection']
578,Jaws,['The Jaws Collection']
579,Jaws 2,['The Jaws Collection']
17692,Jaws 3-D,['The Jaws Collection']
4232,Scream,['Scream Collection']
34314,Turbulence,['Turbulence Collection']
9404,First Strike,['Police Story Collection']
14908,McHale's Navy,"[""McHale's Navy Collection""]"
11419,Vegas Vacation,"[""National Lampoon's Vacation Collection""]"
10003,The Saint,['The Saint Collection']
11844,The Van,['Barrytown Trilogy']
6499,Turbo: A Power Rangers Movie,['Power Rangers Collection']
9360,Anaconda,['Anaconda Collection']
816,Austin Powers: International Man of Mystery,['Austin Powers Collection']
49478,Warriors of Virtue,['Warriors of Virtue Collection']
1811,Nowhere,['Teenage Apocalypse Trilogy']
330,The Lost World: Jurassic Park,['Jurassic Park Collection']
33660,Shiloh,['Shiloh Collection']
1639,Speed 2: Cruise Control,['Speed Collection']
415,Batman & Robin,['Batman Collection']
17991,Tetsuo II: Body Hammer,['Tetsuo Collection']
607,Men in Black,['Men In Black Collection']
9387,Conan the Barbarian,['Conan the Barbarian Collection']
10603,George of the Jungle,['George of the Jungle Collection']
20737,Air Bud,['Air Bud Collection']
18519,Free Willy 3: The Rescue,['Free Willy Collection']
4961,Mimic,['Mimic Collection']
1669,The Hunt for Red October,['The Jack Ryan Collection']
9437,Kiss the Girls,['Alex Cross Collection']
10351,Wishmaster,['Wishmaster Collection']
3597,I Know What You Did Last Summer,['I Know What You Did Last Summer Collection']
1281,Bean,['Mr. Bean Collection']
563,Starship Troopers,['Starship Troopers Collection']
9823,Mortal Kombat: Annihilation,['Mortal Kombat Collection']
8078,Alien: Resurrection,['Alien Collection']
42832,The Boys,['Les Boys']
9714,Home Alone 3,['Home Alone Collection']
4233,Scream 2,['Scream Collection']
714,Tomorrow Never Dies,['James Bond Collection']
9922,The Postman,['The Postman Collection']
32302,3 Ninjas: High Noon at Mega Mountain,['3 Ninjas Collection']
9033,The Prophecy II,['The Prophecy Collection']
11568,Blues Brothers 2000,['The Blues Brothers Collection']
11808,U.S. Marshals,['The Fugitive / U.S. Marshals Collection']
617,Wild Things,['Wild Things Collection']
17644,Barney's Great Adventure,['Barney Collection']
27472,The Odd Couple II,['The Odd Couple Collection']
10216,Species II,['Species Collection']
9771,Major League: Back to the Minors,['Major League Collection']
37410,Henry Fool,['Henry Fool Collection']
10674,Mulan,['Mulan Collection']
846,The X Files,['The X-Files Collection']
3050,Doctor Dolittle,['Dr. Dolittle Collection']
944,Lethal Weapon 4,['Lethal Weapon Collection']
1051,The French Connection,['French Connection Collection']
1366,Rocky,['Rocky Collection']
10014,A Nightmare on Elm Street Part 2: Freddy's Revenge,['A Nightmare on Elm Street Collection']
10072,A Nightmare on Elm Street 3: Dream Warriors,['A Nightmare on Elm Street Collection']
10131,A Nightmare on Elm Street 4: The Dream Master,['A Nightmare on Elm Street Collection']
10160,A Nightmare on Elm Street 5: The Dream Child,['A Nightmare on Elm Street Collection']
11284,Freddy's Dead: The Final Nightmare,['A Nightmare on Elm Street Collection']
4488,Friday the 13th,['Friday the 13th Collection']
9725,Friday the 13th Part 2,['Friday the 13th Collection']
9728,Friday the 13th Part III,['Friday the 13th Collection']
9730,Friday the 13th: The Final Chapter,['Friday the 13th Collection']
9731,Friday the 13th: A New Beginning,['Friday the 13th Collection']
10225,Friday the 13th Part VI: Jason Lives,['Friday the 13th Collection']
10281,Friday the 13th Part VII: The New Blood,['Friday the 13th Collection']
10283,Friday the 13th Part VIII: Jason Takes Manhattan,['Friday the 13th Collection']
948,Halloween,['Halloween Collection']
11281,Halloween II,['Halloween Collection']
10676,Halloween III: Season of the Witch,['Halloween Collection']
11357,Halloween 4: The Return of Michael Myers,['Halloween Collection']
11361,Halloween 5: The Revenge of Michael Myers,['Halloween Collection']
36599,Prom Night,['Prom Night Collection']
39929,Hello Mary Lou: Prom Night II,['Prom Night Collection']
41828,Prom Night III: The Last Kiss,['Prom Night Collection']
41769,Prom Night IV: Deliver Us from Evil,['Prom Night Collection']
10585,Child's Play,"[""Child's Play Collection""]"
11186,Child's Play 2,"[""Child's Play Collection""]"
11187,Child's Play 3,"[""Child's Play Collection""]"
609,Poltergeist,['Poltergeist Collection']
11133,Poltergeist II: The Other Side,['Poltergeist Collection']
10306,Poltergeist III,['Poltergeist Collection']
9552,The Exorcist,['The Exorcist Collection']
11586,Exorcist II: The Heretic,['The Exorcist Collection']
11587,The Exorcist III,['The Exorcist Collection']
941,Lethal Weapon,['Lethal Weapon Collection']
942,Lethal Weapon 2,['Lethal Weapon Collection']
943,Lethal Weapon 3,['Lethal Weapon Collection']
927,Gremlins,['The Gremlins Collection']
928,Gremlins 2: The New Batch,['The Gremlins Collection']
9342,The Mask of Zorro,['Zorro Collection']
165,Back to the Future Part II,['Back to the Future Collection']
196,Back to the Future Part III,['Back to the Future Collection']
551,The Poseidon Adventure,['The Poseidon Adventure Collection']
17984,The Absent-Minded Professor,['Flubber Collection']
22328,The Apple Dumpling Gang Rides Again,['The Apple Dumpling Gang Collection']
3170,Bambi,['Bambi Collection']
242,The Godfather: Part III,['The Godfather Collection']
29228,The Computer Wore Tennis Shoes,['Dexter Riley Collection']
11164,D2: The Mighty Ducks,['The Mighty Ducks Collection']
12129,Herbie Goes Bananas,['Herbie Collection']
14140,Herbie Goes To Monte Carlo,['Herbie Collection']
11158,Honey I Blew Up the Kid,"['Honey, I Shrunk the Kids Collection']"
9354,"Honey, I Shrunk the Kids","['Honey, I Shrunk the Kids Collection']"
9325,The Jungle Book,['The Jungle Book Collection']
10340,Lady and the Tramp,['Lady and the Tramp Collection']
10144,The Little Mermaid,['The Little Mermaid Collection']
10414,The Mighty Ducks,['The Mighty Ducks Collection']
10437,The Muppet Christmas Carol,['The Muppet Collection']
12230,One Hundred and One Dalmatians,['101 Dalmatians (Animated) Collection']
10693,Peter Pan,['Peter Pan Collection']
11135,The Rescuers Down Under,['The Rescuers Collection']
11319,The Rescuers,['The Rescuers Collection']
14822,Return from Witch Mountain,['Witch Mountain Collection']
15969,The Return of Jafar,['Aladdin Collection']
15943,The Shaggy D.A.,['The Shaggy Dog Collection']
19762,Son of Flubber,['Flubber Collection']
2619,Splash,['Splash Collection']
97,Tron,['TRON Collection']
11675,Halloween: H20,['Halloween Collection']
87,Indiana Jones and the Temple of Doom,['Indiana Jones Collection']
123,The Lord of the Rings,['The Lord of the Rings Animated Collection']
10823,Children of the Corn,['Children of the Corn Collection']
11497,All Dogs Go to Heaven,['All Dogs Go to Heaven Collection']
2907,The Addams Family,['Addams Family Collection']
15171,Charlotte's Web,"[""Charlotte's Web Collection""]"
11704,The Secret of NIMH,['The Secret Of NIMH Collection']
4978,An American Tail,['Fievel Collection']
10380,An American Tail: Fievel Goes West,['Fievel Collection']
11415,House,['House Collection']
37530,House II: The Second Story,['House Collection']
8393,The Gods Must Be Crazy,['The Gods Must Be Crazy Collection']
11937,The Gods Must Be Crazy II,['The Gods Must Be Crazy Collection']
21661,Air Bud: Golden Receiver,['Air Bud Collection']
39930,"Henry II, Portrait of a Serial Killer",['Henry: Portrait of a Serial Killer Collection']
10692,Henry: Portrait of a Serial Killer,['Henry: Portrait of a Serial Killer Collection']
805,Rosemary's Baby,"[""Rosemary's Baby Collection""]"
34584,The NeverEnding Story,['The Neverending Story Collection']
34636,The Neverending Story II: The Next Chapter,['The Neverending Story Collection']
2182,Attack of the Killer Tomatoes!,['Killer Tomatoes! Collection']
36647,Blade,['Blade Collection']
431,Cube,['Cube Collection']
2109,Rush Hour,['Rush Hour Collection']
9877,Urban Legend,['Urban Legend']
1091,The Thing,['The Thing Collection']
4437,2010,['The Space Odyssey Series']
11932,Bride of Chucky,"[""Child's Play Collection""]"
9945,Vampires,['Vampires Collection']
4518,Elizabeth,['Elizabeth Collection']
3600,I Still Know What You Did Last Summer,['I Know What You Did Last Summer Collection']
12223,The Stepford Wives,['Stepford Collection']
14444,The Rugrats Movie,['Rugrats Collection']
1678,Godzilla,['Godzilla (Showa) Collection']
39256,Godzilla 1985,['Godzilla (Heisei) Collection']
1680,King Kong vs. Godzilla,['Godzilla (Showa) Collection']
244,King Kong,['King Kong (1933 series)']
10730,King Kong,['King Kong (1976 series)']
31947,King Kong Lives,['King Kong (1976 series)']
9749,Fletch,['Fletch Collection']
14628,Fletch Lives,['Fletch Collection']
9626,Red Sonja,['Conan the Barbarian Collection']
707,A View to a Kill,['James Bond Collection']
9336,Police Academy,['Police Academy Collection']
10157,Police Academy 2: Their First Assignment,['Police Academy Collection']
12118,Police Academy 3: Back in Training,['Police Academy Collection']
10587,Police Academy 4: Citizens on Patrol,['Police Academy Collection']
11825,Police Academy 5: Assignment Miami Beach,['Police Academy Collection']
11895,Police Academy 6: City Under Siege,['Police Academy Collection']
9447,Babe: Pig in the City,['Babe Collection']
200,Star Trek: Insurrection,['Star Trek: The Next Generation Collection']
1369,Rambo: First Blood Part II,['Rambo Collection']
1368,First Blood,['Rambo Collection']
1370,Rambo III,['Rambo Collection']
10303,The Jewel of the Nile,['Romancing the Stone Collection']
9326,Romancing the Stone,['Romancing the Stone Collection']
10328,Cocoon,['Cocoon Collection']
11285,Cocoon: The Return,['Cocoon Collection']
1367,Rocky II,['Rocky Collection']
1371,Rocky III,['Rocky Collection']
1374,Rocky IV,['Rocky Collection']
1375,Rocky V,['Rocky Collection']
1885,The Karate Kid,['The Karate Kid Collection']
8856,"The Karate Kid, Part II",['The Karate Kid Collection']
10495,"The Karate Kid, Part III",['The Karate Kid Collection']
5825,National Lampoon's Christmas Vacation,"[""National Lampoon's Vacation Collection""]"
6917,The Gate,['The Gate Collection']
40729,The Gate II: Trespassers,['The Gate Collection']
11815,The Fly,['The Fly (1958 series)']
9426,The Fly,['The Fly Collection']
10344,The Fly II,['The Fly Collection']
30497,The Texas Chain Saw Massacre,['Texas Chainsaw Massacre Collection']
16337,The Texas Chainsaw Massacre 2,['Texas Chainsaw Massacre Collection']
25018,Leatherface: Texas Chainsaw Massacre III,['Texas Chainsaw Massacre Collection']
16780,Texas Chainsaw Massacre: The Next Generation,['Texas Chainsaw Massacre Collection']
9671,Crocodile Dundee,['Crocodile Dundee Collection']
9396,Crocodile Dundee II,['Crocodile Dundee Collection']
11873,The Color of Money,['The Hustler Collection']
8224,8MM,['8MM Collection']
8913,Pet Sematary,['Pet Sematary Collection']
10906,Pet Sematary II,['Pet Sematary Collection']
25748,Children of the Corn II: The Final Sacrifice,['Children of the Corn Collection']
25749,Children of the Corn III: Urban Harvest,['Children of the Corn Collection']
10671,Airport,['Airport Collection']
27932,Airport 1975,['Airport Collection']
7227,Airport '77,['Airport Collection']
33518,Alligator,['Alligator Collection']
2362,Westworld,['Westworld Collection']
871,Planet of the Apes,['Planet of the Apes Original Collection']
1685,Beneath the Planet of the Apes,['Planet of the Apes Original Collection']
1705,Battle for the Planet of the Apes,['Planet of the Apes Original Collection']
1688,Conquest of the Planet of the Apes,['Planet of the Apes Original Collection']
1687,Escape from the Planet of the Apes,['Planet of the Apes Original Collection']
29723,The Concorde... Airport '79,['Airport Collection']
31638,Beyond the Poseidon Adventure,['The Poseidon Adventure Collection']
9535,Analyze This,['Analyze Collection']
796,Cruel Intentions,['Cruel Intentions Collection']
7341,The Rage: Carrie 2,['Carrie Collection']
603,The Matrix,['The Matrix Collection']
564,The Mummy,['The Mummy Collection']
9460,Black Mask,['The Black Mask Collection']
1893,Star Wars: Episode I - The Phantom Menace,['Star Wars Collection']
15849,The Mummy,['The Mummy (Universal Series)']
18990,The Mummy,['The Mummy (Hammer Series)']
29242,The Mummy's Curse,['The Mummy (Universal Series)']
29243,The Mummy's Ghost,['The Mummy (Universal Series)']
31498,The Mummy's Hand,['The Mummy (Universal Series)']
29239,The Mummy's Tomb,['The Mummy (Universal Series)']
1924,Superman,['Superman Collection']
8536,Superman II,['Superman Collection']
9531,Superman III,['Superman Collection']
11411,Superman IV: The Quest for Peace,['Superman Collection']
138,Dracula,['Dracula (Universal Series)']
30793,House of Dracula,['Dracula (Universal Series)']
3103,House of Frankenstein,['Frankenstein (Universal Series)']
3035,Frankenstein,['Frankenstein (Universal Series)']
3077,Son of Frankenstein,['Frankenstein (Universal Series)']
3074,The Ghost of Frankenstein,['Frankenstein (Universal Series)']
3076,Frankenstein Meets the Wolf Man,['The Wolf Man (Universal Series)']
3079,The Curse of Frankenstein,['Frankenstein (Hammer Series)']
32023,Son of Dracula,['Dracula (Universal Series)']
13666,The Wolf Man,['The Wolf Man (Universal Series)']
29794,Howling II: Stirba - Werewolf Bitch,['The Howling Collection']
36685,The Rocky Horror Picture Show,['Rocky Horror Collection']
17918,Swamp Thing,['Swamp Thing Collection']
817,Austin Powers: The Spy Who Shagged Me,['Austin Powers Collection']
37135,Tarzan,['Tarzan (Animation) Collection']
2105,American Pie,['American Pie Collection']
10239,Autumn Tale,['Tales of the Four Seasons']
10208,Muppets from Space,['The Muppet Collection']
2667,The Blair Witch Project,['Blair Witch Collection']
9825,Lake Placid,['Lake Placid Collection']
620,Ghostbusters,['Ghostbusters Collection']
2978,Ghostbusters II,['Ghostbusters Collection']
332,Inspector Gadget,['Inspector Gadget Collection']
147,The 400 Blows,['The Adventures of Antoine Doinel']
9710,Allan Quatermain and the Lost City of Gold,['Allan Quatermain Collection']
10766,Damien: Omen II,['The Omen Collection']
10768,Omen III: The Final Conflict,['The Omen Collection']
813,Airplane!,['Airplane Collection']
2665,Airplane II: The Sequel,['Airplane Collection']
11418,National Lampoon’s European Vacation,"[""National Lampoon's Vacation Collection""]"
11153,National Lampoon's Vacation,"[""National Lampoon's Vacation Collection""]"
11077,Problem Child,['Problem Child Collection']
28597,Problem Child 2,['Problem Child Collection']
850,A Christmas Story,['A Christmas Story Collection']
10366,Universal Soldier: The Return,['Universal Soldier Collection']
9349,Universal Soldier,['Universal Soldier Collection']
11037,Iron Eagle,['Iron Eagle Collection']
11955,Iron Eagle II,['Iron Eagle Collection']
2038,Iron Eagle III,['Iron Eagle Collection']
28737,Iron Eagle IV,['Iron Eagle Collection']
91893,The Spiders - The Golden Sea,['The Spiders Serial']
11601,Stir of Echoes,['Stir of Echoes Collection']
11797,Fright Night,['Fright Night Collection']
18086,Fright Night Part 2,['Fright Night Collection']
10975,Armour of God II: Operation Condor,['Armour of God Collection']
10974,Armour of God,['Armour of God Collection']
9638,Phantasm,['Phantasm Collection']
10576,Psycho II,['Psycho Collection']
12662,Psycho III,['Psycho Collection']
11230,Drunken Master,['Drunken Master Collection']
1654,The Dirty Dozen,['The Dirty Dozen Collection']
658,Goldfinger,['James Bond Collection']
657,From Russia with Love,['James Bond Collection']
646,Dr. No,['James Bond Collection']
5689,The Blue Lagoon,['The Blue Lagoon collection']
391,A Fistful of Dollars,['The Man With No Name Collection']
772,Home Alone 2: Lost in New York,['Home Alone Collection']
65448,Penitentiary,['Penitenciaría - Colección']
65452,Penitentiary II,['Penitenciaría - Colección']
29064,The Omega Code,['Omega Code Series']
10496,Bats,['Bats Collection']
16162,The Best Man,['The Best Man Collection']
15247,The Ipcress File,['Harry Palmer Collection']
29251,On Any Sunday,['On Any Sunday Collection']
5548,RoboCop,['RoboCop Collection']
5549,RoboCop 2,['RoboCop Collection']
699,For Your Eyes Only,['James Bond Collection']
709,Licence to Kill,['James Bond Collection']
253,Live and Let Die,['James Bond Collection']
660,Thunderball,['James Bond Collection']
11377,House on Haunted Hill,['House on Haunted Hill Collection']
18111,Bride of Re-Animator,['Re-Animator Collection']
16281,Creepshow,['Creepshow Collection']
16288,Creepshow 2,['Creepshow Collection']
1694,Re-Animator,['Re-Animator Collection']
24831,Piranha,['Piranha Collection']
37853,Mister Roberts,['Mister Roberts Collection']
14035,Meatballs,['Meatballs Collection']
40771,Meatballs Part II,['Meatballs Collection']
40772,Meatballs III: Summer Job,['Meatballs Collection']
40773,Meatballs 4,['Meatballs Collection']
10228,Pokémon: The First Movie: Mewtwo Strikes Back,['Pokémon Collection']
11663,The Commitments,['Barrytown Trilogy']
9264,Poison Ivy,['Poison Ivy Collection']
18222,Poison Ivy: The New Seduction,['Poison Ivy Collection']
20565,42 Up,['The Up Series']
36643,The World Is Not Enough,['James Bond Collection']
863,Toy Story 2,['Toy Story Collection']
32669,The Two Jakes,['The Jake Gittes Collection']
10402,Deuce Bigalow: Male Gigolo,['Deuce Bigalow Collection']
25188,The Last Picture Show,['The Last Picture Show Collection']
15515,The 7th Voyage of Sinbad,['The Sinbad Collection']
10137,Stuart Little,['Stuart Little Collection']
49948,Fantasia 2000,['Fantasia Collection']
10471,Next Friday,['Friday Collection']
14919,Batman: Mask of the Phantasm,['Batman (DC Universe Animated) Collection']
2005,Sister Act,['Sister Act Collection']
6279,Sister Act 2: Back in the Habit,['Sister Act Collection']
8872,Wayne's World,"[""Wayne's World Collection""]"
8873,Wayne's World 2,"[""Wayne's World Collection""]"
9869,Patriot Games,['The Jack Ryan Collection']
9367,El Mariachi,['Mexico Trilogy']
16562,The Cutting Edge,['The Cutting Edge Collection']
4234,Scream 3,['Scream Collection']
9605,Single White Female,['Single White Female Collection']
8374,The Boondock Saints,['The Boondock Saints Collection']
25934,"To Sir, with Love","['To Sir, with Love Collection']"
2787,Pitch Black,['The Chronicles of Riddick Collection']
2069,The Whole Nine Yards,['The Whole Nine/Ten Yards Collection']
10839,Cross of Iron,['Cross of Iron Collection']
838,American Graffiti,['American Graffiti Collection']
11176,The Muppet Movie,['The Muppet Collection']
11899,The Muppets Take Manhattan,['The Muppet Collection']
9532,Final Destination,['Final Destination Collection']
13939,Death Wish,['Death Wish Collection']
14373,Death Wish 2,['Death Wish Collection']
24873,Death Wish 3,['Death Wish Collection']
26263,Death Wish 4: The Crackdown,['Death Wish Collection']
34746,Death Wish 5: The Face of Death,['Death Wish Collection']
1498,Teenage Mutant Ninja Turtles,['Teenage Mutant Ninja Turtles (Original) Collection']
1497,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,['Teenage Mutant Ninja Turtles (Original) Collection']
